bedrooms,bathrooms,sqft_living,sqft_lot,price
3,2.5,2920,8113,1088000
3,1,1210,33919,290000
3,2.5,2340,10005,375000
3,1,1670,4005,460000
2,1.75,1240,2493,188500
4,2.5,3140,28037,680000
5,1.75,2030,12342,470000
4,2.5,2310,9624,597750
3,1.75,1260,3328,570000
3,1.75,1540,12600,272500
3,1.75,2080,5969,329950
4,2.5,3230,16171,480000
3,3.5,4380,6350,740500
3,3.5,1590,1102,518500
2,1,880,6780,205425
4,2,1570,9600,171800
4,1,1610,2982,535000
3,2.5,2400,6474,660000
3,2,1450,9132,391500
2,1,770,6000,395000
4,1.75,2100,4400,445000
3,2.25,2910,10204,770000
4,2.75,2750,17789,1450000
3,2.25,2100,8201,445000
4,2.25,2160,8811,260000
5,3.5,2320,4960,822500
4,2.5,2070,4310,430000
3,1.75,1060,7875,212000
4,2.25,2010,9603,660500
3,3.5,3950,111078,784000
3,2.5,2010,2287,453246
4,3.5,2140,2278,675000
3,1.75,1320,17390,199000
4,1.75,2020,7840,220000
4,2.25,2590,10002,452000
2,1,1190,4440,382500
3,2.25,1170,1249,519950
2,1,1110,3200,665000
5,2.5,2820,9375,527700
3,1,1610,8579,205000
3,1,1060,8097,420000
4,2.25,2030,8517,500000
4,2.5,3670,315374,921500
4,1,2550,4000,890000
2,2.5,2420,60984,430000
5,2,2260,12500,258000
3,1,1430,3455,511000
3,2,1360,3090,532170
3,1,1110,5000,560000
3,1,1250,8200,282950
4,3.25,5180,19850,2250000
1,1,700,5100,350000
3,1,1180,7669,215000
5,3.5,3960,25245,650000
4,2.75,2640,7500,320000
3,2,1270,7198,247000
4,1.75,1760,11180,320000
5,2.25,2060,8632,255000
3,1.75,1780,9660,438000
3,2.5,3400,16603,900000
3,2.75,1910,7280,441000
3,2,2020,38332,420000
3,1.75,1580,7000,370000
2,1.75,1340,7250,269950
4,2.5,2680,4499,807100
3,2.5,2680,9750,653000
3,2,1370,8336,371500
3,1.75,1560,21000,284000
3,1.75,2160,7140,272000
3,1.5,1340,7912,313000
4,2.5,3880,35003,917500
4,2.25,2590,8190,673000
3,2.5,1120,1100,425000
5,2.75,1970,5400,399950
3,1,1220,4800,385000
3,1.5,1950,7560,269950
2,1,1350,8220,330000
3,2.5,1670,5797,260000
4,3,2380,5125,470000
4,3,2440,9600,589000
2,1.5,1050,3419,163500
4,2.75,3130,13412,835000
5,3,4090,12850,1095000
4,1.75,1490,10000,269000
3,2.5,1900,8744,560000
4,1,1330,2400,615000
3,2.25,2230,10026,585188
3,1.75,1650,9480,305000
3,1,1190,8820,166950
3,2.5,2140,9897,799000
3,2.5,2180,7508,400000
3,1,1060,10228,230000
3,2.5,1690,5025,256883
4,2,1970,6480,423000
3,2.5,2150,4084,465000
3,2.5,1910,66211,440000
3,1.75,1350,155073,385000
3,1,860,11725,210000
3,2.5,1940,14952,297000
3,1,1010,5000,470000
3,1.5,1300,7370,226500
3,1,910,8450,274250
4,1.75,2480,11010,840000
3,2.5,2440,4587,677900
3,1,1010,5864,425000
2,0.75,900,9600,180250
6,3,2300,3404,464000
4,2.25,1550,7579,320000
3,2.25,1270,1566,625504
4,2.5,2240,12032,592500
3,2.5,2714,17936,465000
4,2.75,1720,6270,477000
2,1,850,16400,280000
5,3,3300,33474,1505000
3,2.5,2250,5692,445838
2,2.25,3900,14864,1072000
2,1.5,1320,10800,467000
4,2.5,2760,6440,686000
3,2,1750,9750,279950
4,2.25,2330,19436,527000
3,2.25,2220,16020,325000
3,2.25,2020,8379,328000
3,2.25,1250,7500,390000
2,2,1510,6516,479950
4,2.25,1720,9753,264950
3,1,1430,15246,235000
3,2.5,1480,4729,516500
2,1.75,1450,15798,655000
4,2.75,2280,15347,500000
6,2.75,2940,7350,315000
2,1,1000,10200,213000
3,1.5,2480,5280,475000
5,4,3760,28040,1025000
3,2,2220,94300,416000
4,1,1970,4740,410000
3,3.5,3830,221284,800000
6,2.5,4410,14034,472000
3,1.75,1430,8505,225000
2,1,830,6000,210000
2,1,1430,5000,455000
3,1,1300,8316,225000
2,1,1030,3060,480000
3,2.5,2740,11872,363000
4,2.5,3650,8354,2400000
2,1.5,720,5120,181000
4,2,2010,7312,250000
3,1.75,1560,3000,481000
3,2,1810,7209,260000
4,2.5,3360,7685,455000
3,2.25,1510,36224,415000
3,1,1400,3538,349500
3,2.5,1730,7442,245000
2,2,1420,9191,592500
4,1.75,2360,7620,385000
3,1.75,1580,11455,315000
3,1,1230,10170,255000
4,2.5,2460,4425,693000
3,1,1660,4400,780000
3,1.75,1270,8470,237000
3,2.25,2100,40510,525000
2,1,770,5040,425000
1,0.75,760,10079,369900
4,2.5,1700,7280,290000
3,1,1120,10701,285000
2,1,1070,4500,415000
3,2.5,2070,9900,272500
4,3.25,5050,20100,2900000
4,4.75,5310,57346,1365000
2,1,1040,7538,436000
3,1,1700,11390,210000
3,1,1300,5898,236000
3,1.75,1080,1306,331000
3,2.5,2653,4510,365000
3,2,2290,16258,450000
4,2.75,3820,26300,770000
4,2.5,2210,49375,455000
3,1.75,2390,6000,405000
4,1.75,2600,11325,304900
2,1,860,5265,170000
5,3,3830,8480,2050000
4,2.5,3500,7048,780000
3,3,2420,13959,330000
4,2.5,2720,8666,370000
5,2.25,2500,13500,467000
3,1.75,1670,6720,405000
5,2.25,2900,10300,675000
2,1,1640,14100,500000
4,2.5,1890,15770,389999
4,1.75,2950,9025,630000
4,2.5,2160,9528,360000
4,3,3280,11060,580000
3,2,1970,4166,550000
4,2.5,3360,22111,879000
3,2,1320,8959,265000
3,2.5,2650,7286,446500
3,1.5,2030,8880,404000
3,1.75,1590,11914,267500
4,5,4550,18641,3075000
3,2.5,2440,7632,335000
3,2.5,1940,9000,576000
3,2.5,2040,3810,208633
3,2.25,2200,8750,315000
3,1.75,1920,3300,725000
4,2.75,1800,7750,550000
4,2.25,2180,7297,610750
2,1,1010,5000,550700
4,2.75,3320,10574,665000
4,2.5,2370,4000,834000
5,1.75,1660,78408,201000
5,2.5,3650,9050,2384000
4,3.25,4290,12103,1384000
4,3.25,4290,12103,1400000
4,2.25,1950,7700,305000
3,2,2590,14052,487000
3,2.5,1930,64904,390000
2,1,1470,3864,548000
4,1,800,8775,268750
5,2.75,3150,7119,819900
3,2.25,2030,16200,520000
3,2,1450,11204,230000
3,1.75,1510,10248,240000
2,1,1240,12092,232000
2,1,1240,12092,240500
3,2.5,3030,45004,274975
4,2,2050,4400,740000
3,1,1000,7636,186375
3,2.25,2370,10289,790000
4,3.5,2800,6750,880000
6,1.75,2240,11180,279000
3,2,1810,10530,295000
2,1,1070,5000,640000
4,2,2490,9525,940000
4,2.5,1960,5238,260000
3,2.75,2930,5569,559900
4,2,1510,3500,791500
3,1.75,1420,8250,265000
3,1.75,1740,11547,245000
4,1.75,2560,43995,485000
4,3.5,3040,8414,684000
3,1.75,2500,6840,425000
4,1.75,1275,20000,309600
4,2.5,2580,5823,552250
4,1,1000,7134,165000
4,1,1000,7134,239900
2,1,1070,32633,320000
3,2,1390,13464,206600
4,1.75,2500,7690,387000
1,0.75,560,12120,299000
4,2.75,2270,10460,855000
3,1,1900,14400,315000
2,1,990,3120,437500
4,1.5,1550,19800,252000
4,1.75,2200,7475,375000
4,2.5,1910,4862,300000
4,1,1750,9600,420000
3,1,1330,77972,900000
3,2.5,2440,5750,679900
3,2.5,1640,29970,463000
5,2.5,2760,11340,380000
4,2.5,1820,7912,329500
3,2.5,2110,5608,604950
5,2.5,3040,9570,795000
3,2,1840,40438,465000
4,2.5,2990,10400,673000
4,2.5,3520,15420,810000
4,2.75,2440,69415,785000
4,3,2090,7500,338000
3,2.25,1430,7222,280000
4,2.25,2180,10754,315000
4,2.25,2180,10754,530000
5,3,3450,9914,380000
3,2.25,1450,7562,297000
4,2.5,3230,7331,730000
3,1.75,1640,13500,450000
3,3,1590,7750,275000
4,2,2020,2849,595000
3,1.5,1300,3348,435000
2,1.5,1380,209959,270000
3,3,4040,14338,950000
4,2.25,2130,5337,389000
4,2.25,2550,7800,560000
5,3.5,4800,14984,1350000
4,2.25,2510,11585,799000
3,2,1410,9600,365500
3,2,1650,7352,252350
4,2.5,2120,13780,403950
4,1.5,2040,10726,385000
4,1,1550,7620,345000
3,2.75,1980,3128,490000
3,2.5,1600,26977,330000
4,2.75,3300,12090,927000
4,2.5,3840,16619,1118000
2,1,1220,10000,330000
5,2.25,2720,8800,530000
4,2,1940,25600,365000
3,2.5,2160,3000,378750
4,1.75,1530,8750,269900
3,3.5,1710,2096,557000
4,1.75,3730,16980,360000
2,1,940,5000,352000
3,2.5,1750,22357,437000
4,2.5,1820,6753,322500
3,3.25,1510,2000,650000
3,2,1290,1213,450000
3,2,1570,5250,278500
4,2.5,1930,6957,364950
4,3.5,2840,40139,840000
3,2.5,1550,8134,268000
2,1,833,143947,517534
3,2.5,2990,32239,632925
3,2.5,2000,7251,577500
4,1.5,2390,7480,339000
3,1.75,2910,37461,570000
4,1.75,2085,174240,563500
4,2.25,2200,9351,423000
3,2.25,1860,5028,355000
5,4.25,6070,171626,1550000
2,1,950,3960,482000
3,1.75,1600,9135,625000
3,2.5,2250,11632,538000
3,2.5,2280,10255,380000
2,1,940,5120,375000
3,2.5,1530,8500,245000
5,1.75,2190,27260,310000
3,2,2350,15021,1300000
4,2,1440,7680,397000
3,2.5,2200,4052,365000
4,3,2290,8250,328500
4,3,4040,19700,988000
4,2.5,2610,3277,1000000
3,2.5,1490,2138,237000
4,2.5,2450,5280,525000
4,2.5,1710,9627,749000
5,2.5,4870,11800,722500
3,2.5,3130,8750,843000
2,2,1270,1372,438000
3,1.75,2120,10875,578000
3,1.5,1670,8230,227950
3,2.25,2070,11576,196000
2,1,1420,5332,641000
3,1.5,1250,219978,350000
3,1,940,7980,205000
3,1.75,1920,9102,400000
3,2.5,3545,9816,1030000
3,2,1260,5460,505000
5,2.5,2340,7200,475000
3,2.25,2590,9263,520000
3,4.5,3970,24920,1450000
3,1.75,1220,9732,333500
3,1,1400,10403,232000
3,2.75,2360,16117,691100
3,1.75,1870,9897,811000
3,2.5,2830,5802,551000
3,2.5,2260,3640,496500
3,3,1970,20978,705000
4,2.5,3140,9225,578000
3,1.75,1240,8659,255000
4,3.5,3450,7832,1050000
3,2.25,2570,8491,348000
3,2,1510,3413,230000
4,2.25,2390,11250,359500
3,1,980,7000,330000
1,0.75,430,5050,80000
3,1.75,1480,6360,465000
4,2.5,1850,7324,325000
3,2,2270,28025,340500
3,2.5,1810,5192,342500
2,2,1610,17600,290900
3,4.25,3840,6161,868700
4,2.75,4110,8400,1199000
4,3.25,4190,10259,1150000
4,2.75,3390,6298,859900
4,2.25,1890,3006,520000
3,2.5,1610,2527,460000
3,1.5,1050,4590,438924
2,1,630,6550,315000
4,2.75,2910,10650,590000
4,1.75,1700,8640,378500
3,2.5,1950,8130,328500
3,3,2990,9773,849950
3,1.5,1350,6000,525000
4,3.25,4860,181319,1385000
4,2.5,2160,7725,295000
6,3.5,4860,11793,1067000
2,2,890,5000,207950
4,2.75,2810,7302,699900
5,2.5,3400,9500,1280000
4,1.5,1580,7350,452000
3,2,1680,5036,370000
3,1.75,1300,11230,232000
5,2.5,2820,14062,669950
3,2,1510,6710,397500
2,2.5,1230,1391,490000
4,2,2110,4140,725000
3,2.75,3080,19635,299000
2,1.5,1490,5750,625000
3,2.5,2120,4500,437500
4,2.5,3180,5438,650000
2,1,1490,3825,475000
3,2,1930,11947,342000
4,2.5,2770,7800,1197350
3,1.5,1670,11610,280000
2,1.75,1330,7200,240000
3,1,1210,3328,529000
3,1,1190,5100,442000
2,1,1540,6872,615000
4,3.75,4030,10800,1485000
4,1.75,2430,7559,585000
4,2.5,2600,7787,480000
5,3.5,4410,57063,1095000
4,1,1330,8184,290000
3,1.75,1900,5000,615000
2,1,1100,7680,300000
3,1,1980,39150,308000
3,2.5,2400,7745,750000
4,2.25,4760,8036,2250000
4,3.25,3180,194278,890000
3,1,1190,7560,288000
2,1,630,6000,190000
5,3,2530,5105,515000
4,1.5,1690,11054,235000
2,1,940,5000,275000
2,2,1240,9119,727500
4,2.5,3040,6587,650000
6,5,6050,230652,1600000
4,1,1590,7085,365000
3,1.75,2500,36947,662000
3,2.5,1780,7848,270500
2,1.5,1360,1898,200000
4,3.25,4740,76230,970000
3,1.5,1010,9600,160000
3,1,1040,7405,204000
3,2.25,1610,6655,358000
4,1.75,1570,8268,452000
2,2,1510,4000,595000
3,2,1360,6082,249000
4,2.5,1970,5106,346900
3,2.5,5403,24069,2125000
4,2.5,1560,4350,280000
4,1.75,2320,12000,318888
3,2.25,2120,40518,530000
3,2.25,2120,18500,375000
4,2.5,3350,29242,910000
4,2.5,2380,9614,782000
2,2,1070,649,259950
4,2.75,2300,18360,315000
2,1,1320,8865,215000
3,1.75,2180,10221,705000
3,3,4380,6320,1450000
3,1.75,1790,9813,451000
2,1,750,8125,261000
3,1.5,1300,8280,396000
4,2.5,2990,29170,725000
7,3.5,4640,15235,1950000
4,1,1400,7242,238000
6,1.75,2750,9563,750000
4,2.5,2050,10271,331500
4,3,2230,108900,460000
4,2.25,2340,217014,404950
3,2.5,2870,5163,880000
4,2.5,4120,22370,863000
3,1.75,2080,9162,638700
3,2.5,1840,5680,435000
3,1,1180,5350,260000
5,2.75,2160,4000,671500
3,1,1180,3400,610000
2,0.75,1160,15029,405000
4,2.5,1830,5612,338900
4,4,3200,7708,720000
5,3,2560,5445,442000
5,2.75,2550,5040,650000
3,1.75,1330,9917,263500
2,1,1220,75794,300000
3,2.5,1805,3402,266000
4,4,6050,84942,930000
4,2.5,2320,5493,530000
3,1,1384,8960,180000
3,2.5,2720,6439,619000
3,1.5,1820,10608,264000
2,2.25,2130,4920,730000
4,2.25,2060,10070,439000
4,1.75,1420,7500,268500
3,1.75,1510,15744,330000
3,2.5,2160,4000,640000
3,2.5,3180,12600,900000
3,2.25,2110,13300,370000
3,2,2060,2900,685000
3,1.5,1830,217800,505000
3,1.75,1820,32666,265000
3,2.5,1610,2937,290000
4,2.5,1780,3600,296000
4,2.5,1840,9611,360000
3,1.75,1460,10584,240500
2,2.5,1400,2958,372500
3,2.5,3370,14402,595000
4,3,3590,8249,515000
4,2.25,3200,15367,1220000
2,1.75,1670,6460,507000
4,2,2420,31465,399950
3,1.75,1430,10816,185000
3,1.75,1440,7070,460000
3,2.25,1450,4789,435500
4,2.75,3550,13938,469000
2,3,1270,1175,531000
2,1,940,6804,443500
3,2,1670,6824,223000
4,3.5,3100,15842,590000
2,2.5,1100,1760,340000
3,2,1870,3388,650000
3,2.5,1930,5080,533600
3,2.75,2540,4694,695000
3,1.75,1280,7524,242000
3,2.25,1820,8814,425000
3,2.25,1490,9414,525000
3,2.5,1880,5502,485000
3,1,1250,9775,175000
3,2,1440,7210,210000
3,2.5,1920,7415,260000
3,2.5,2060,5750,577000
3,1.5,1210,10588,200000
2,1.75,1760,5000,605000
3,1,990,6750,325000
3,1,960,6400,289500
3,2.5,1660,1458,559950
3,1.75,1900,9375,1042500
3,2.25,1270,2790,543500
4,2.25,3250,34293,480000
3,1,960,9633,218000
2,1.75,1330,6000,565000
3,1.75,2080,7700,426700
3,2.5,2690,11575,650000
2,1,890,3060,542000
3,1.75,1070,8000,415000
3,1,1200,8316,214000
3,1.5,1360,8910,245000
3,2,2050,13303,314500
3,1.5,3000,5750,1120000
2,2,1300,3850,378000
4,2.5,2250,9091,305000
5,2.75,3740,6750,595000
3,2.5,1660,1091,729500
3,2.5,2360,6699,430000
3,1.75,1760,6500,240000
3,1.75,1680,6200,545000
3,1.75,1320,2500,530000
1,1,870,26326,157000
4,1,1260,7645,425000
3,1,1000,6020,220000
4,1.75,2020,36400,521000
3,1,1920,6862,325000
3,2,2150,5400,597500
3,2.5,1470,3976,337000
3,2.5,3180,10492,1000000
3,2.5,3930,55867,3070000
3,1,990,6000,495000
4,3.5,2770,3330,748000
3,1.5,1250,8710,888000
3,1.75,1140,22267,269900
4,2.5,2250,14440,496500
3,2.5,1640,5097,475000
3,1.5,1255,1374,312000
3,1,1290,12231,323000
3,1.75,1300,9079,331000
3,1.5,1220,1086,306000
4,2.5,2630,4000,655000
3,1.5,1950,15954,290000
4,3.25,3160,5000,1250000
3,1.75,1550,4708,460000
4,2.5,1700,6380,435000
4,2.75,2510,11880,664000
4,1.75,1800,4180,865000
3,1.75,1800,18000,385000
3,2.25,1870,9315,497000
2,1,1010,3000,280000
2,1.5,1120,17487,188000
3,1,2090,4755,478500
4,3.5,4370,18361,1145000
3,2,1440,7187,222000
4,3,2580,209523,799000
4,2.5,3190,7399,609900
4,3.5,2380,5809,413000
4,1,1420,4875,400000
5,2.75,2990,6768,802541
3,2.5,2680,7757,320000
4,2.5,2730,7649,507000
3,1,1220,8329,387500
3,1,1500,12616,396000
3,1.75,1830,11788,373000
5,2.5,4570,19252,1484900
4,2.25,2470,7698,359900
2,1,800,4342,410000
4,2.5,2900,23488,690000
3,2,1410,5760,245000
5,2.5,2830,25958,700000
4,1.75,1680,9966,268000
3,1.75,1760,26055,225000
4,2.25,2240,11034,980000
2,1,1380,5000,795000
2,1,820,5100,195000
4,2,2180,10575,480000
4,2,1400,3600,485000
2,1,880,9000,130000
2,1,1060,5703,325000
3,1.75,1530,7245,440000
4,1.75,2480,14782,550000
3,1.75,1490,7150,310000
3,2.5,3660,39478,530000
4,2.5,2340,8548,390000
3,1.75,1450,12125,243000
4,2.5,2210,9875,639000
4,1,1130,7400,215000
5,1.75,1550,10500,405000
4,1.75,1710,7140,250000
3,1.5,1010,8108,405500
6,2.25,2660,13579,452000
6,2.25,2660,13579,730000
3,2,1300,9644,267000
3,2.5,1670,6186,289950
2,1,960,4080,565000
4,3.25,4670,51836,1578000
3,2.5,2140,2770,636000
5,3,2520,5500,350000
3,1.5,1650,9380,320000
2,1.75,1440,5680,210000
2,1,1050,5900,245000
3,1.75,1470,7650,328000
4,2.25,4230,37769,985000
3,1.75,1970,7972,501000
3,2.25,1540,17424,315000
3,2.75,2090,8354,403000
3,2,2380,17950,550000
4,2.5,2156,3562,347500
4,2.25,2070,8893,365000
3,1,1910,8167,588000
3,1.75,1920,7400,605000
3,3.25,3400,5979,1300000
3,2,1400,9177,233000
4,2.5,2210,17715,360000
2,1.75,1170,4887,459000
3,2,2100,72745,740000
3,1,1160,9750,305000
3,1,1500,4000,395000
4,2.5,2940,6000,560000
4,1.75,2010,5070,650000
3,2.5,2170,4912,449950
3,1.5,1430,5200,517500
4,1.5,1510,6460,435000
3,1,1150,6908,329999
3,1.75,2150,4200,950000
3,1,1370,6001,447000
2,2.5,2380,6600,699800
3,1.75,1370,3850,850000
3,1.75,1600,14250,316500
5,3.5,3750,9612,942500
2,2.25,3950,3938,1310000
4,2.25,2400,13430,856600
5,1.5,2830,4000,405600
4,2.5,2440,22594,565000
3,2.25,1190,1149,400000
3,2,1400,218252,330000
4,2.75,2730,4683,374950
3,2.75,2390,7939,405300
3,2.25,2060,31400,560000
4,2.25,2490,9864,824000
3,1.75,1100,10968,260000
4,2.5,2430,6099,760000
3,2.5,3170,12750,405000
4,2.5,2640,8625,429900
3,1.5,1130,7223,341500
5,2,1940,7642,465250
2,2,1100,3000,450000
3,1,1200,10800,390000
3,2.25,2000,8030,420000
3,2.5,1890,4838,269950
4,2,1910,2874,493000
4,2.5,2710,5880,370000
5,4.25,4860,9453,2250000
3,1,1250,23680,305000
3,1.75,1590,8219,400000
3,1.5,1240,1221,320000
4,1,2000,4800,715000
6,2.75,3610,10003,650000
5,1.75,1930,8040,218000
2,1,1280,5400,500000
4,2,2090,40419,460000
3,1.5,1940,9887,232500
3,2.5,1800,5761,408200
3,1.75,1730,8400,522000
4,2.5,2810,11120,675000
4,3.5,3550,11000,1355000
4,1,1330,7980,249950
2,1,750,34133,210000
4,1,1760,7216,429950
4,2.5,3200,36276,737500
4,2,1740,9000,710000
3,2.5,2100,4700,470000
4,3.5,4270,40097,1100000
3,2,1340,2720,650000
4,2.5,3190,8684,1216000
3,2.5,1630,4534,422120
5,2.5,2990,15085,625000
4,1,1550,7740,385200
3,2.25,1690,4964,500000
4,2.25,1960,12243,308000
3,2.75,2390,9966,565000
3,2.5,2600,4438,581000
3,2,1950,8698,361000
3,1,1250,7210,345000
2,2.25,1180,1253,419000
3,2.5,1680,4308,347000
4,2.25,2220,36085,625000
4,4.25,4890,15188,2400000
3,3.25,2660,17852,379000
3,1.5,1150,3323,310000
2,2,1130,5500,250000
5,2.75,2760,5000,682000
3,2,1430,8919,246500
3,1,1490,57381,325000
4,2.5,2030,4997,310950
3,2,3010,5000,1100000
3,1,1810,7200,287500
3,1,1810,7200,431000
3,1,970,5000,226000
3,1.75,2010,3090,825000
4,1,1300,6030,175000
3,1.5,1260,10350,465750
4,2.25,2610,24931,659000
3,1.75,1910,5753,595000
3,2.25,1780,16290,350000
4,2.25,1900,8600,270000
6,2.25,2450,25600,662500
3,1.75,1380,14000,249900
3,1.75,1920,11340,324500
2,1.75,1350,4003,430000
2,1.75,1350,4003,419950
4,1.75,2510,7440,285000
4,2.5,2470,7780,332000
4,1.75,1660,10725,282000
3,1,1340,5175,320000
3,1,1620,30736,428750
3,2.25,2300,35287,330000
4,3.5,2000,2309,456500
3,2.25,1640,11050,352000
4,2,1530,4080,664000
3,1.75,4000,11894,628000
3,1.75,1610,12555,512000
3,2,2070,9000,254000
4,2.5,1900,5790,535800
3,1,1050,16050,287653
3,2.5,1520,1304,438000
4,1.75,2390,23899,450000
5,2.75,2400,8050,327000
4,2.5,1790,6120,370500
3,2.5,1720,6271,265000
4,2.75,2980,13260,450000
3,1,1520,213444,425000
3,1.75,1150,8690,166600
1,0.75,380,15000,245000
3,1,910,5212,565000
3,1.75,1650,10150,539900
3,3.5,2480,3200,910000
4,2.5,2050,7416,280000
3,2.25,1420,8549,275000
3,2.5,3460,6590,467000
3,2.5,1500,4445,457500
2,1,1320,3090,381156
5,2.5,2180,8240,289999
3,1.75,1830,4160,642450
3,2.25,1620,8701,469950
3,2,2920,13650,795000
4,2.5,3300,10514,785000
3,2.25,3060,12095,860000
0,0,3064,4764,1095000
3,1,1530,8498,147500
3,2,1910,11576,390000
3,1,1020,8100,229000
3,1,1150,8100,185000
3,1.5,1260,9570,414900
4,2,1920,4822,200000
4,2.25,1800,9350,225000
3,1.75,2040,4000,720000
4,2.5,2200,4000,930000
5,2.5,3200,17204,1270000
5,3.25,2400,3118,700000
2,1.5,1140,1058,466000
3,1.5,1330,10640,374000
3,2.5,1940,10035,480000
3,2.5,3000,25341,740000
4,1,1820,5400,1010000
4,2.5,2910,5000,395000
2,1,1090,6771,340000
3,2,1230,1340,209000
5,2.5,1710,7700,431650
5,2.5,3160,11470,980000
3,2.5,2680,28243,660000
4,2.25,2190,9009,730000
3,1.75,1260,9600,291500
4,3.5,2970,14486,905000
4,2.5,2570,50308,800000
4,3.5,3810,13592,839900
1,1.5,1010,1157,200000
3,2,1480,6698,300000
3,1.75,1250,6041,530000
3,2.25,1654,8479,314950
3,1.75,1410,9315,255000
5,2.75,2160,5720,550000
3,1,1400,4800,435000
3,1.75,1420,8738,234000
4,2.25,2500,10062,615000
3,2,1410,8384,205000
4,1.75,2100,7135,384000
3,2.5,1750,7208,324000
3,1.75,2070,5500,645000
3,3.25,1570,1777,570000
3,2.5,1920,5322,324000
2,1,1000,10320,270000
5,1.5,2120,7700,290000
3,2,1440,9220,250000
3,1.75,1660,16275,342000
3,1.5,1340,8450,255000
3,2.25,2380,11824,800000
3,1.75,1560,4049,451000
4,2.5,2780,10480,990000
4,2.5,1860,6687,288400
3,1.5,2390,4600,420000
2,2.75,1370,1140,359000
4,3,2570,262018,390000
3,2.5,1320,2614,300000
5,2.5,2520,7863,545000
3,1,1250,18616,288349
3,2.25,1560,35026,299900
4,2,2330,5000,891000
3,2,3660,22410,1200000
4,2.5,2790,4650,378000
2,1,1060,7200,299995
3,2.5,2020,6564,253000
3,2.25,1580,47916,350000
4,3,2020,4300,565000
2,1,970,5665,315000
4,3,1490,6766,570000
5,3.5,4390,10140,971000
5,2.5,2750,5589,915000
4,1.5,2150,23568,419000
4,1.75,1810,7480,260000
3,3,2230,12968,1321500
3,1,2430,10720,369950
3,2.5,3680,13384,1029900
5,1,1410,6750,435000
3,1.75,1330,6743,601000
3,1,1490,10650,460500
3,2.5,2020,1159,720000
4,2.5,3130,13202,851000
4,3,2670,5000,550000
4,1,1980,4560,700000
3,1.75,2100,14850,323000
3,1,1350,8581,345500
4,1.5,2140,7920,378000
4,2,2208,5000,650000
3,2,1010,7380,385000
2,1,970,2970,425000
4,2,1520,6174,210000
4,2.5,2740,43101,630000
3,1.75,1570,7500,335000
3,1,1320,9000,196500
4,2.75,2550,7636,582800
3,1.75,1560,7207,440000
4,2.25,2360,8616,752500
